layer,component,pos_from_end,attr
0,attn_out,-8,-0.001796
0,attn_out,-7,-0.001536
0,attn_out,-6,-0.009327
0,attn_out,-5,-0.006769
0,attn_out,-4,-0.002113
0,attn_out,-3,-0.000098
0,attn_out,-2,-0.000414
0,attn_out,-1,-0.000076
0,mlp_hidden,-8,-0.004167
0,mlp_hidden,-7,-0.004927
0,mlp_hidden,-6,-0.007972
0,mlp_hidden,-5,-0.016475
0,mlp_hidden,-4,-0.003762
0,mlp_hidden,-3,-0.000139
0,mlp_hidden,-2,-0.000160
0,mlp_hidden,-1,0.000147
0,mlp_out,-8,-0.004167
0,mlp_out,-7,-0.004927
0,mlp_out,-6,-0.007972
0,mlp_out,-5,-0.016475
0,mlp_out,-4,-0.003762
0,mlp_out,-3,-0.000139
0,mlp_out,-2,-0.000160
0,mlp_out,-1,0.000147
0,resid_post,-8,-0.005799
0,resid_post,-7,-0.007126
0,resid_post,-6,-0.005255
0,resid_post,-5,-0.022696
0,resid_post,-4,-0.004127
0,resid_post,-3,-0.000096
0,resid_post,-2,-0.000415
0,resid_post,-1,-0.000077
0,resid_pre,-8,-0.006201
0,resid_pre,-7,-0.006102
0,resid_pre,-6,-0.003026
0,resid_pre,-5,-0.020093
0,resid_pre,-4,-0.000611
0,resid_pre,-3,0.000000
0,resid_pre,-2,0.000000
0,resid_pre,-1,0.000000
1,attn_out,-8,-0.000015
1,attn_out,-7,0.000481
1,attn_out,-6,0.001224
1,attn_out,-5,0.001028
1,attn_out,-4,0.000702
1,attn_out,-3,-0.000091
1,attn_out,-2,0.000713
1,attn_out,-1,-0.000245
1,mlp_hidden,-8,-0.001026
1,mlp_hidden,-7,0.001049
1,mlp_hidden,-6,0.000900
1,mlp_hidden,-5,-0.000486
1,mlp_hidden,-4,0.000413
1,mlp_hidden,-3,0.000147
1,mlp_hidden,-2,0.000016
1,mlp_hidden,-1,-0.000195
1,mlp_out,-8,-0.001026
1,mlp_out,-7,0.001049
1,mlp_out,-6,0.000900
1,mlp_out,-5,-0.000486
1,mlp_out,-4,0.000413
1,mlp_out,-3,0.000147
1,mlp_out,-2,0.000016
1,mlp_out,-1,-0.000195
1,resid_post,-8,-0.005039
1,resid_post,-7,-0.002918
1,resid_post,-6,0.006448
1,resid_post,-5,-0.018972
1,resid_post,-4,-0.003161
1,resid_post,-3,-0.000187
1,resid_post,-2,0.000224
1,resid_post,-1,-0.000306
1,resid_pre,-8,-0.005799
1,resid_pre,-7,-0.007126
1,resid_pre,-6,-0.005255
1,resid_pre,-5,-0.022696
1,resid_pre,-4,-0.004127
1,resid_pre,-3,-0.000096
1,resid_pre,-2,-0.000415
1,resid_pre,-1,-0.000077
2,attn_out,-8,0.000379
2,attn_out,-7,0.000262
2,attn_out,-6,0.000506
2,attn_out,-5,-0.001249
2,attn_out,-4,0.001479
2,attn_out,-3,0.000793
2,attn_out,-2,0.000430
